iter	Passed	Remaining
400	27824	41562
401	27888	41485
402	27958	41418
403	28025	41344
404	28091	41270
405	28157	41196
406	28223	41121
407	28288	41046
408	28349	40965
409	28415	40890
410	28484	40821
411	28550	40747
412	28614	40670
413	28674	40587
414	28752	40530
415	28819	40457
416	28892	40394
417	28957	40318
418	29021	40242
419	29086	40167
420	29149	40089
421	29210	40009
422	29279	39938
423	29345	39865
424	29414	39795
425	29486	39730
426	29548	39651
427	29612	39575
428	29678	39501
429	29744	39429
430	29809	39354
431	29880	39287
432	29940	39206
433	30007	39134
434	30083	39073
435	30152	39004
436	30217	38930
437	30286	38860
438	30351	38785
439	30418	38713
440	30486	38643
441	30553	38572
442	30621	38501
443	30682	38422
444	30749	38350
445	30818	38280
446	30889	38214
447	30955	38141
448	31019	38066
449	31083	37991
450	31147	37915
451	31210	37838
452	31275	37765
453	31340	37691
454	31399	37610
455	31475	37549
456	31537	37472
457	31637	37439
458	31702	37366
459	31769	37295
460	31840	37228
461	31930	37182
462	31998	37112
463	32063	37039
464	32131	36968
465	32203	36902
466	32269	36829
467	32335	36757
468	32397	36679
469	32460	36604
470	32534	36540
471	32600	36468
472	32668	36397
473	32730	36321
474	32798	36251
475	32865	36179
476	32931	36107
477	32997	36034
478	33062	35961
479	33126	35887
480	33187	35809
481	33249	35732
482	33314	35659
483	33380	35587
484	33449	35518
485	33520	35451
486	33585	35378
487	33652	35307
488	33719	35236
489	33781	35160
490	33850	35091
491	33911	35014
492	33983	34948
493	34044	34871
494	34113	34802
495	34176	34727
496	34242	34655
497	34302	34577
498	34372	34509
499	34434	34434
500	34507	34369
501	34577	34302
502	34643	34230
503	34709	34158
504	34776	34088
505	34846	34020
506	34912	33948
507	35002	33899
508	35067	33827
509	35131	33754
510	35194	33679
511	35257	33605
512	35324	33534
513	35394	33466
514	35462	33396
515	35526	33323
516	35598	33257
517	35664	33185
518	35727	33111
519	35787	33034
520	35857	32966
521	35921	32893
522	35990	32825
523	36059	32755
524	36127	32686
525	36190	32612
526	36254	32539
527	36317	32465
528	36386	32396
529	36464	32336
530	36530	32265
531	36600	32197
532	36668	32127
533	36729	32052
534	36799	31984
535	36864	31912
536	36924	31836
537	36988	31763
538	37062	31699
539	37124	31624
540	37185	31548
541	37250	31477
542	37315	31405
543	37382	31334
544	37451	31266
545	37516	31194
546	37582	31123
547	37661	31063
548	37725	30991
549	37789	30918
550	37861	30852
551	37924	30779
552	37986	30705
553	38056	30637
554	38128	30571
555	38196	30501
556	38259	30429
557	38321	30354
558	38390	30286
559	38454	30214
560	38524	30146
561	38589	30074
562	38660	30008
563	38726	29937
564	38794	29868
565	38864	29800
566	38928	29728
567	39002	29663
568	39074	29597
569	39143	29529
570	39211	29459
571	39275	29388
572	39343	29318
573	39425	29260
574	39497	29193
575	39560	29121
576	39624	29048
577	39695	28982
578	39762	28911
579	39828	28841
580	39894	28770
581	39959	28699
582	40024	28628
583	40101	28565
584	40165	28493
585	40230	28422
586	40297	28352
587	40358	28278
588	40426	28209
589	40494	28140
590	40559	28069
591	40620	27995
592	40685	27924
593	40756	27856
594	40824	27788
595	40895	27720
596	40956	27647
597	41023	27577
598	41094	27510
599	41159	27439
600	41222	27367
601	41283	27293
602	41346	27221
603	41409	27148
604	41479	27081
605	41544	27010
606	41614	26942
607	41677	26871
608	41750	26805
609	41818	26736
610	41886	26667
611	41952	26597
612	42018	26527
613	42084	26457
614	42161	26393
615	42229	26324
616	42293	26253
617	42357	26181
618	42419	26109
619	42483	26038
620	42548	25967
621	42614	25897
622	42676	25825
623	42749	25759
624	42813	25688
625	42881	25619
626	42940	25544
627	43008	25476
628	43071	25404
629	43137	25334
630	43203	25264
631	43270	25195
632	43339	25127
633	43402	25055
634	43470	24986
635	43535	24916
636	43599	24845
637	43663	24774
638	43724	24702
639	43796	24635
640	43861	24564
641	43928	24496
642	43992	24424
643	44058	24355
644	44123	24285
645	44194	24218
646	44262	24149
647	44325	24078
648	44390	24007
649	44455	23937
650	44519	23866
651	44588	23798
652	44653	23728
653	44719	23658
654	44781	23587
655	44853	23520
656	44923	23453
657	44992	23385
658	45058	23315
659	45126	23246
660	45187	23174
661	45253	23105
662	45315	23033
663	45391	22969
664	45458	22900
665	45531	22834
666	45603	22767
667	45668	22697
668	45733	22627
669	45801	22559
670	45874	22492
671	45941	22423
672	46006	22353
673	46071	22283
674	46138	22215
675	46206	22146
676	46273	22077
677	46338	22007
678	46405	21938
679	46470	21868
680	46535	21798
681	46605	21730
682	46670	21660
683	46734	21590
684	46809	21525
685	46889	21462
686	46957	21393
687	47025	21325
688	47089	21255
689	47158	21187
690	47224	21117
691	47289	21047
692	47359	20980
693	47426	20911
694	47493	20842
695	47556	20771
696	47618	20700
697	47685	20631
698	47754	20563
699	47821	20494
700	47899	20430
701	47968	20362
702	48029	20291
703	48095	20221
704	48162	20153
705	48231	20084
706	48301	20017
707	48370	19949
708	48434	19879
709	48502	19810
710	48565	19740
711	48631	19671
712	48694	19600
713	48760	19531
714	48829	19463
715	48912	19401
716	48977	19331
717	49042	19261
718	49105	19191
719	49170	19121
720	49231	19050
721	49332	18994
722	49399	18926
723	49467	18857
724	49532	18788
725	49597	18718
726	49662	18649
727	49730	18580
728	49798	18512
729	49864	18442
730	49945	18379
731	50011	18310
732	50075	18240
733	50140	18170
734	50208	18102
735	50274	18033
736	50343	17965
737	50427	17902
738	50491	17832
739	50558	17763
740	50629	17696
741	50695	17627
742	50763	17558
743	50830	17489
744	50905	17424
745	50982	17358
746	51048	17289
747	51111	17219
748	51175	17149
749	51236	17078
750	51299	17008
751	51367	16940
752	51434	16871
753	51507	16804
754	51577	16736
755	51643	16668
756	51708	16598
757	51777	16530
758	51844	16461
759	51919	16395
760	51992	16328
761	52057	16259
762	52119	16189
763	52182	16119
764	52252	16051
765	52323	15984
766	52388	15914
767	52455	15846
768	52521	15776
769	52579	15705
770	52645	15636
771	52708	15566
772	52784	15500
773	52850	15431
774	52923	15364
775	52989	15295
776	53058	15227
777	53121	15158
778	53187	15089
779	53249	15019
780	53351	14960
781	53417	14891
782	53488	14823
783	53551	14754
784	53615	14684
785	53681	14615
786	53747	14546
787	53812	14477
788	53874	14407
789	53943	14339
790	54007	14270
791	54079	14202
792	54149	14134
793	54214	14065
794	54278	13996
795	54341	13926
796	54407	13857
797	54479	13790
798	54551	13723
799	54613	13653
800	54680	13584
801	54736	13513
802	54798	13443
803	54864	13375
804	54944	13309
805	55009	13240
806	55082	13173
807	55147	13104
808	55210	13034
809	55272	12965
810	55337	12896
811	55403	12827
812	55471	12759
813	55536	12690
814	55603	12621
815	55666	12552
816	55729	12482
817	55792	12413
818	55857	12344
819	55932	12277
820	55997	12208
821	56055	12138
822	56129	12071
823	56196	12003
824	56265	11935
825	56335	11867
826	56401	11798
827	56468	11730
828	56543	11663
829	56611	11595
830	56674	11525
831	56744	11458
832	56810	11389
833	56872	11319
834	56946	11252
835	57010	11183
836	57074	11114
837	57153	11048
838	57218	10979
839	57283	10911
840	57351	10842
841	57416	10774
842	57482	10705
843	57550	10637
844	57625	10570
845	57692	10501
846	57757	10433
847	57816	10363
848	57881	10294
849	57952	10226
850	58018	10158
851	58081	10089
852	58147	10020
853	58219	9953
854	58285	9884
855	58353	9816
856	58414	9747
857	58480	9678
858	58546	9610
859	58621	9542
860	58688	9474
861	58760	9407
862	58824	9338
863	58889	9269
864	58961	9202
865	59023	9133
866	59088	9064
867	59165	8997
868	59240	8930
869	59305	8861
870	59369	8792
871	59435	8724
872	59496	8655
873	59562	8586
874	59630	8518
875	59701	8450
876	59767	8382
877	59830	8313
878	59893	8244
879	59963	8176
880	60026	8108
881	60091	8039
882	60155	7970
883	60226	7903
884	60296	7835
885	60368	7767
886	60431	7698
887	60494	7629
888	60559	7561
889	60627	7493
890	60693	7424
891	60760	7356
892	60821	7287
893	60887	7219
894	60954	7151
895	61019	7082
896	61080	7013
897	61144	6945
898	61206	6876
899	61278	6808
900	61336	6739
901	61403	6671
902	61468	6602
903	61533	6534
904	61600	6466
905	61666	6398
906	61734	6329
907	61798	6261
908	61860	6192
909	61923	6124
910	61991	6056
911	62059	5988
912	62123	5919
913	62189	5851
914	62256	5783
915	62336	5716
916	62402	5648
917	62467	5579
918	62529	5511
919	62603	5443
920	62667	5375
921	62736	5307
922	62802	5239
923	62868	5171
924	62936	5102
925	63006	5035
926	63070	4966
927	63137	4898
928	63203	4830
929	63268	4762
930	63341	4694
931	63409	4626
932	63476	4558
933	63544	4490
934	63613	4422
935	63679	4354
936	63748	4286
937	63813	4217
938	63877	4149
939	63937	4081
940	64004	4013
941	64070	3944
942	64135	3876
943	64199	3808
944	64269	3740
945	64329	3672
946	64406	3604
947	64469	3536
948	64535	3468
949	64599	3399
950	64664	3331
951	64732	3263
952	64828	3197
953	64890	3128
954	64956	3060
955	65025	2992
956	65091	2924
957	65159	2856
958	65224	2788
959	65288	2720
960	65352	2652
961	65516	2587
962	65583	2519
963	65652	2451
964	65717	2383
965	65785	2315
966	65853	2247
967	65924	2179
968	65995	2111
969	66061	2043
970	66127	1974
971	66192	1906
972	66256	1838
973	66321	1770
974	66403	1702
975	66466	1634
976	66545	1566
977	66615	1498
978	66689	1430
979	66754	1362
980	66821	1294
981	66883	1225
982	66952	1157
983	67022	1089
984	67092	1021
985	67155	953
986	67219	885
987	67284	817
988	67353	749
989	67421	681
990	67487	612
991	67560	544
992	67635	476
993	67699	408
994	67770	340
995	67834	272
996	67905	204
997	67973	136
998	68040	68
999	68104	0
